what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui",1534906426995
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1534906426996
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1534906427004
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1534906427005
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1534906427005
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1534906427006
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1534906427006
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1534906427007
os,sysinfo,,,"win32",1534906427009
arch,sysinfo,,,"x86",1534906427009
ws,sysinfo,,,"win32",1534906427009
locale,sysinfo,,,"ru_RU",1534906427009
processors,sysinfo,,,"4",1534906427009
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1534906427009
java.runtime.version,sysinfo,,,"1.8.0_131-b11",1534906427009
java.specification.name,sysinfo,,,"Java Platform API Specification",1534906427009
java.specification.vendor,sysinfo,,,"Oracle Corporation",1534906427009
java.specification.version,sysinfo,,,"1.8",1534906427009
java.vendor,sysinfo,,,"Oracle Corporation",1534906427009
java.version,sysinfo,,,"1.8.0_131",1534906427009
java.vm.info,sysinfo,,,"mixed mode",1534906427009
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1534906427009
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1534906427009
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1534906427009
java.vm.specification.version,sysinfo,,,"1.8",1534906427009
